,装移机情况,全省,南京,无锡,镇江,苏州,南通,扬州,盐城,徐州,淮安,连云港,常州,泰州,宿迁,月份,年份
152,FTTH昨日竣工数合计,4394,734,764,137,572,291,190,292,441,59,295,348,213,58,10,2011
155,FTTH昨日竣工数合计,4657,723,1149,193,606,215,273,254,253,70,133,405,294,89,11,2011
156,FTTH昨日竣工数合计,4836,776,1256,215,607,217,258,250,248,81,122,459,248,99,11,2011
157,FTTH昨日竣工数合计,4611,730,1201,188,593,225,254,196,249,76,102,410,303,84,11,2011
158,FTTH昨日竣工数合计,4306,744,1134,187,501,170,195,126,178,51,87,510,362,61,11,2011
159,FTTH昨日竣工数合计,3861,664,985,162,425,139,196,142,154,53,96,476,327,42,11,2011
160,FTTH昨日竣工数合计,4137,773,1008,131,517,139,252,122,187,59,110,446,291,102,11,2011
161,FTTH昨日竣工数合计,4695,807,1254,201,609,175,215,214,210,66,76,552,230,86,11,2011
162,FTTH昨日竣工数合计,4916,916,1262,233,561,190,286,203,258,69,50,546,213,129,11,2011
163,FTTH昨日竣工数合计,5087,882,1241,233,639,208,297,231,233,90,68,667,245,53,11,2011
164,FTTH昨日竣工数合计,4887,860,1185,200,609,229,227,189,224,87,80,717,216,64,11,2011
165,FTTH昨日竣工数合计,4854,860,1393,217,569,194,248,194,236,66,84,524,200,69,11,2011
166,FTTH昨日竣工数合计,4367,821,1296,174,464,193,242,144,242,35,78,456,163,59,11,2011
167,FTTH昨日竣工数合计,4580,801,1298,151,557,212,194,138,204,60,79,656,160,70,11,2011
168,FTTH昨日竣工数合计,4890,857,1487,219,585,216,279,200,205,75,73,440,176,78,11,2011
169,FTTH昨日竣工数合计,5201,916,1485,236,689,238,210,200,253,52,58,668,133,63,11,2011
170,FTTH昨日竣工数合计,5362,1043,1441,251,649,251,306,207,300,70,85,513,165,81,11,2011
171,FTTH昨日竣工数合计,4988,855,1451,200,659,190,273,189,259,78,64,514,179,77,11,2011
172,FTTH昨日竣工数合计,4931,961,1359,236,590,237,320,158,276,53,65,430,184,62,11,2011
173,FTTH昨日竣工数合计,4752,962,1323,183,494,192,242,113,391,60,61,417,238,76,11,2011
174,FTTH昨日竣工数合计,4975,800,1369,166,556,141,277,256,324,86,58,620,245,77,11,2011
175,FTTH昨日竣工数合计,4913,906,1311,283,564,227,238,155,238,74,64,504,256,93,11,2011
176,FTTH昨日竣工数合计,5593,849,1552,309,721,236,290,245,380,96,84,483,240,108,11,2011
177,FTTH昨日竣工数合计,5227,881,1334,241,686,214,266,283,294,117,72,470,278,91,11,2011
178,FTTH昨日竣工数合计,5544,824,1479,215,656,268,275,250,324,136,111,594,317,95,11,2011
179,FTTH昨日竣工数合计,5248,956,1428,252,657,267,309,151,296,84,60,477,261,50,11,2011
180,FTTH昨日竣工数合计,4933,1015,1401,223,636,225,289,122,262,69,72,366,210,43,11,2011
181,FTTH昨日竣工数合计,5290,970,1372,200,756,211,256,290,300,83,87,483,225,57,11,2011
182,FTTH昨日竣工数合计,5875,964,1828,239,792,192,292,332,178,85,63,549,253,108,11,2011
185,FTTH昨日竣工数合计,4857,755,1435,206,595,210,180,261,255,57,60,526,239,78,12,2011
186,FTTH昨日竣工数合计,5359,948,1578,228,564,222,245,229,305,69,61,610,207,93,12,2011
187,FTTH昨日竣工数合计,5004,1029,1527,167,507,206,222,290,248,71,36,423,211,67,12,2011
188,FTTH昨日竣工数合计,5169,903,1676,180,570,222,262,151,240,82,130,467,202,84,12,2011
189,FTTH昨日竣工数合计,5510,944,1479,163,703,252,281,335,255,59,66,577,265,131,12,2011
190,FTTH昨日竣工数合计,4606,807,1367,163,523,202,254,200,234,57,63,465,210,61,12,2011
191,FTTH昨日竣工数合计,5258,907,1365,246,615,231,260,203,340,141,86,543,227,94,12,2011
192,FTTH昨日竣工数合计,5485,1004,1575,226,634,215,316,227,293,111,64,516,218,86,12,2011
193,FTTH昨日竣工数合计,5549,983,1695,242,643,234,298,185,319,80,80,467,254,69,12,2011
194,FTTH昨日竣工数合计,5154,1114,1517,157,512,232,239,153,328,89,69,436,257,51,12,2011
195,FTTH昨日竣工数合计,5577,1079,1685,150,579,225,275,194,348,103,62,559,203,115,12,2011
196,FTTH昨日竣工数合计,5917,1110,1815,202,646,253,316,323,257,77,62,589,209,58,12,2011
197,FTTH昨日竣工数合计,5947,1060,1636,211,704,314,378,290,278,81,71,574,234,116,12,2011
198,FTTH昨日竣工数合计,6002,1209,1502,281,676,228,331,373,311,94,65,503,301,128,12,2011
199,FTTH昨日竣工数合计,5628,972,1533,315,693,266,311,247,321,77,96,489,206,102,12,2011
200,FTTH昨日竣工数合计,5567,1263,1628,190,683,247,298,189,236,95,61,409,155,113,12,2011
201,FTTH昨日竣工数合计,5109,1221,1462,159,582,190,240,176,271,88,66,420,149,85,12,2011
202,FTTH昨日竣工数合计,5565,1078,1500,192,693,186,298,265,302,92,78,549,205,127,12,2011
203,FTTH昨日竣工数合计,5992,1263,1695,193,705,223,338,231,313,93,69,483,236,150,12,2011
204,FTTH昨日竣工数合计,5936,1165,1588,228,769,202,340,323,345,89,83,459,225,120,12,2011
205,FTTH昨日竣工数合计,6419,1213,1907,263,725,249,230,286,558,118,75,537,142,116,12,2011
206,FTTH昨日竣工数合计,6009,1106,1607,216,761,262,302,333,319,146,88,610,168,91,12,2011
207,FTTH昨日竣工数合计,6324,1368,1664,198,749,282,280,301,348,76,92,533,346,87,12,2011
208,FTTH昨日竣工数合计,5711,1445,1464,202,660,214,240,290,335,104,74,467,167,49,12,2011
209,FTTH昨日竣工数合计,5898,1219,1489,230,781,270,299,276,332,102,86,540,151,123,12,2011
210,FTTH昨日竣工数合计,6538,1276,1590,232,866,259,436,377,316,115,101,604,250,116,12,2011
211,FTTH昨日竣工数合计,6868,1263,1695,314,892,294,439,489,352,114,108,512,300,96,12,2011
212,FTTH昨日竣工数合计,7156,1368,1798,268,890,420,363,377,419,135,96,536,419,67,12,2011
213,FTTH昨日竣工数合计,7104,1381,1773,251,877,315,432,395,403,144,91,589,360,93,12,2011
216,FTTH昨日竣工数合计,4180,675,876,169,485,258,175,299,376,75,71,442,171,108,1,2012
217,FTTH昨日竣工数合计,4709,885,947,160,533,252,203,622,293,88,68,376,165,117,1,2012
218,FTTH昨日竣工数合计,5161,1107,1037,217,687,223,259,368,330,94,85,516,147,91,1,2012
219,FTTH昨日竣工数合计,6403,1178,1374,249,778,304,292,458,374,144,105,617,371,159,1,2012
220,FTTH昨日竣工数合计,6186,1266,1302,261,768,324,307,494,382,130,100,534,153,165,1,2012
221,FTTH昨日竣工数合计,6288,1316,1258,272,746,317,222,471,456,123,115,596,231,165,1,2012
222,FTTH昨日竣工数合计,5802,1217,1182,214,686,273,297,420,551,114,109,446,158,135,1,2012
223,FTTH昨日竣工数合计,5978,1099,1353,245,797,254,243,388,501,115,97,536,171,179,1,2012
224,FTTH昨日竣工数合计,6406,1040,1491,214,820,312,275,559,453,160,95,564,194,229,1,2012
225,FTTH昨日竣工数合计,6737,1066,1556,276,924,251,351,496,456,178,107,686,207,183,1,2012
226,FTTH昨日竣工数合计,6422,1043,1472,299,801,276,351,489,431,199,104,610,215,132,1,2012
227,FTTH昨日竣工数合计,6853,1015,1603,307,895,292,349,579,481,190,111,613,214,204,1,2012
228,FTTH昨日竣工数合计,6709,1288,1382,323,737,318,288,566,486,198,143,569,183,228,1,2012
229,FTTH昨日竣工数合计,5835,1177,1271,221,618,338,261,465,362,176,98,544,157,147,1,2012
230,FTTH昨日竣工数合计,6086,944,1239,282,773,295,333,514,416,158,133,654,172,173,1,2012
